-log10pvalue	-log10qvalue	rank	basepairs
40.49	35.06	9628	15
40.47	35.04	9643	17
40.45	35.02	9660	43
40.44	35.01	9703	188
40.43	35.01	9891	18
40.40	34.98	9909	4
40.33	34.91	9913	34
40.31	34.89	9947	12
40.29	34.87	9959	29
40.27	34.85	9988	1
40.24	34.82	9989	2
40.20	34.78	9991	2
40.18	34.76	9993	41
40.13	34.71	10034	3
40.11	34.69	10037	4
40.06	34.64	10041	3
40.01	34.59	10044	4
39.96	34.55	10048	2
39.95	34.54	10050	70
39.89	34.48	10120	6
39.88	34.47	10126	5
39.86	34.45	10131	4
39.79	34.38	10135	5
39.78	34.37	10140	41
39.72	34.31	10181	8
39.70	34.29	10189	2
39.67	34.26	10191	6
39.63	34.22	10197	4
39.61	34.20	10201	31
39.57	34.16	10232	3
39.54	34.13	10235	1
39.53	34.12	10236	2
39.49	34.08	10238	9
39.47	34.06	10247	41
39.46	34.06	10288	80
39.45	34.05	10368	36
39.43	34.03	10404	16
39.40	34.00	10420	6
39.39	33.99	10426	2
39.35	33.95	10428	79
39.32	33.92	10507	1
39.29	33.89	10508	3
39.28	33.88	10511	1
39.27	33.87	10512	16
39.22	33.83	10528	3
39.20	33.81	10531	22
39.15	33.76	10553	15
39.11	33.72	10568	49
39.10	33.71	10617	12
39.08	33.69	10629	1
39.04	33.65	10630	26
39.02	33.63	10656	5
38.95	33.56	10661	19
38.94	33.55	10680	113
38.92	33.54	10793	5
38.90	33.52	10798	2
38.89	33.51	10800	100
38.88	33.50	10900	8
38.86	33.48	10908	32
38.85	33.47	10940	76
38.79	33.42	11016	12
38.77	33.40	11028	11
38.76	33.39	11039	10
38.67	33.30	11049	2
38.65	33.28	11051	14
38.63	33.26	11065	1
38.61	33.24	11066	4
38.60	33.23	11070	2
38.58	33.21	11072	1
38.57	33.20	11073	4
38.54	33.17	11077	3
38.52	33.15	11080	4
38.47	33.10	11084	7
38.46	33.09	11091	12
38.45	33.08	11103	1
38.44	33.07	11104	2
38.42	33.05	11106	11
38.32	32.95	11117	4
38.29	32.92	11121	29
38.27	32.90	11150	32
38.26	32.89	11182	58
38.25	32.88	11240	7
38.17	32.80	11247	7
38.14	32.77	11254	14
38.11	32.74	11268	1
38.10	32.73	11269	1
38.09	32.73	11270	6
38.04	32.68	11276	5
38.03	32.67	11281	184
37.97	32.61	11465	5
37.94	32.58	11470	9
37.92	32.56	11479	6
37.90	32.54	11485	1
37.88	32.52	11486	11
37.86	32.50	11497	69
37.83	32.48	11566	10
37.79	32.44	11576	2
37.76	32.41	11578	203
37.68	32.33	11781	45
37.67	32.33	11826	7
37.65	32.31	11833	55
37.60	32.26	11888	3
37.59	32.25	11891	8
37.58	32.24	11899	50
37.57	32.23	11949	3
37.47	32.13	11952	32
37.45	32.11	11984	2
37.44	32.10	11986	42
37.42	32.08	12028	22
37.40	32.06	12050	14
37.39	32.05	12064	101
37.38	32.05	12165	10
37.36	32.03	12175	189
37.33	32.01	12364	53
37.29	31.97	12417	13
37.28	31.96	12430	9
37.26	31.94	12439	8
37.25	31.93	12447	10
37.24	31.92	12457	8
37.19	31.87	12465	33
37.14	31.82	12498	4
37.11	31.79	12502	24
37.07	31.75	12526	36
37.01	31.69	12562	16
36.97	31.65	12578	14
36.96	31.64	12592	8
36.93	31.61	12600	45
36.90	31.59	12645	25
36.88	31.57	12670	8
36.86	31.55	12678	25
36.84	31.53	12703	8
36.81	31.50	12711	11
36.79	31.48	12722	1
36.75	31.44	12723	10
36.74	31.43	12733	13
36.72	31.41	12746	89
36.69	31.38	12835	7
36.67	31.36	12842	15
36.65	31.34	12857	13
36.61	31.30	12870	4
36.58	31.27	12874	6
36.57	31.26	12880	5
36.53	31.22	12885	1
36.47	31.16	12886	45
36.46	31.15	12931	11
36.40	31.10	12942	13
36.39	31.09	12955	3
36.38	31.08	12958	34
36.34	31.04	12992	1
36.31	31.01	12993	2
36.29	30.99	12995	32
36.28	30.98	13027	20
36.27	30.97	13047	29
36.22	30.92	13076	11
36.18	30.88	13087	4
36.15	30.85	13091	5
36.11	30.81	13096	16
36.10	30.80	13112	5
36.08	30.78	13117	14
36.07	30.77	13131	87
36.06	30.76	13218	64
35.99	30.70	13282	77
35.97	30.68	13359	8
35.95	30.66	13367	26
35.93	30.64	13393	70
35.92	30.63	13463	5
35.89	30.60	13468	21
35.88	30.59	13489	24
35.86	30.57	13513	19
35.84	30.55	13532	263
35.77	30.49	13795	19
35.76	30.48	13814	1
35.75	30.47	13815	4
35.74	30.46	13819	6
35.72	30.44	13825	10
35.68	30.40	13835	13
35.67	30.39	13848	15
35.65	30.37	13863	18
35.64	30.37	13881	4
35.60	30.33	13885	4
35.56	30.29	13889	8
35.50	30.23	13897	25
35.49	30.22	13922	4
35.42	30.15	13926	80
35.40	30.13	14006	56
35.39	30.12	14062	31
35.38	30.11	14093	6
35.36	30.09	14099	5
35.35	30.08	14104	3
35.29	30.02	14107	42
35.24	29.97	14149	15
35.22	29.95	14164	8
35.20	29.93	14172	10
35.19	29.92	14182	5
35.13	29.86	14187	12
35.10	29.84	14199	3
35.09	29.83	14202	3
35.08	29.82	14205	37
35.06	29.80	14242	1
35.04	29.78	14243	2
34.99	29.73	14245	6
34.97	29.71	14251	37
34.96	29.70	14288	4
34.93	29.67	14292	4
34.92	29.66	14296	2
34.90	29.64	14298	18
34.88	29.62	14316	8
34.78	29.52	14324	1
34.77	29.51	14325	18
34.74	29.48	14343	55
34.72	29.46	14398	24
34.71	29.45	14422	1
34.70	29.44	14423	48
34.68	29.42	14471	13
34.61	29.35	14484	27
34.60	29.34	14511	2
34.58	29.32	14513	48
34.56	29.31	14561	23
34.54	29.29	14584	66
34.49	29.24	14650	33
34.47	29.22	14683	174
34.39	29.15	14857	86
34.38	29.14	14943	32
34.36	29.12	14975	3
34.34	29.10	14978	151
34.31	29.07	15129	8
34.29	29.05	15137	18
34.24	29.00	15155	2
34.22	28.98	15157	10
34.20	28.96	15167	7
34.19	28.95	15174	1
34.18	28.94	15175	7
34.15	28.91	15182	5
34.14	28.90	15187	1
34.13	28.89	15188	227
34.11	28.88	15415	12
34.10	28.87	15427	27
34.08	28.85	15454	3
34.07	28.84	15457	7
34.03	28.80	15464	17
34.01	28.78	15481	11
33.99	28.76	15492	26
33.95	28.72	15518	2
33.90	28.67	15520	71
33.89	28.67	15591	67
33.86	28.64	15658	22
33.79	28.57	15680	20
33.78	28.56	15700	3
33.76	28.54	15703	4
33.75	28.53	15707	16
33.72	28.50	15723	43
33.70	28.48	15766	7
33.69	28.47	15773	36
33.68	28.46	15809	1
33.61	28.39	15810	1
33.60	28.38	15811	9
33.56	28.34	15820	1
33.54	28.32	15821	101
33.53	28.32	15922	6
33.49	28.28	15928	26
33.43	28.22	15954	26
33.36	28.15	15980	6
33.34	28.13	15986	13
33.33	28.12	15999	38
33.32	28.11	16037	4
33.29	28.08	16041	3
33.22	28.01	16044	3
33.19	27.98	16047	57
33.18	27.97	16104	45
33.15	27.94	16149	26
33.11	27.90	16175	31
33.10	27.89	16206	5
33.09	27.88	16211	9
33.06	27.85	16220	128
33.04	27.84	16348	32
33.02	27.82	16380	54
33.01	27.81	16434	47
33.00	27.80	16481	2
32.95	27.75	16483	9
32.93	27.73	16492	3
32.92	27.72	16495	5
32.90	27.70	16500	28
32.89	27.69	16528	11
32.88	27.68	16539	2
32.85	27.65	16541	152
32.84	27.65	16693	233
32.82	27.63	16926	28
32.81	27.62	16954	1
32.77	27.58	16955	8
32.74	27.55	16963	249
32.72	27.54	17212	14
32.70	27.52	17226	7
32.68	27.50	17233	50
32.67	27.49	17283	3
32.65	27.47	17286	11
32.59	27.41	17297	3
32.58	27.40	17300	5
32.57	27.39	17305	14
32.54	27.36	17319	46
32.51	27.33	17365	30
32.47	27.29	17395	71
32.45	27.28	17466	6
32.43	27.26	17472	11
32.40	27.23	17483	4
32.38	27.21	17487	38
32.36	27.19	17525	3
32.35	27.18	17528	94
32.33	27.16	17622	2
32.32	27.15	17624	1
32.31	27.14	17625	11
32.29	27.12	17636	25
32.28	27.11	17661	5
32.21	27.04	17666	43
32.19	27.02	17709	37
32.18	27.01	17746	14
32.17	27.00	17760	9
32.15	26.98	17769	4
32.14	26.97	17773	19
32.10	26.93	17792	42
32.03	26.86	17834	4
32.01	26.84	17838	5
31.99	26.82	17843	4
31.98	26.81	17847	25
31.96	26.80	17872	1
31.92	26.76	17873	10
31.91	26.75	17883	39
31.87	26.71	17922	31
31.85	26.69	17953	8
31.82	26.66	17961	9
31.79	26.63	17970	100
31.78	26.62	18070	2
31.75	26.59	18072	4
31.74	26.58	18076	21
31.71	26.55	18097	6
